,Time,Open,High,Low,Close,Volume
0,2021-07-03 17:00:00,34688,34732.49,34515.5,34608.48,1161.853445
1,2021-07-03 18:00:00,34608.48,34658.19,34485.49,34533.81,1585.808547
2,2021-07-03 19:00:00,34532.09,34945.61,34524.99,34764.74,1998.144663
3,2021-07-03 20:00:00,34764,34789.04,34603.53,34645.85,1011.063156
4,2021-07-03 21:00:00,34645.85,34788.03,34570.44,34745.98,1004.172715
5,2021-07-03 22:00:00,34745.99,34843.2,34560.92,34726.35,1198.123206
6,2021-07-03 23:00:00,34726.34,34914.76,34533.01,34544.88,1848.326855
7,2021-07-04 00:00:00,34544.88,34650,34250.48,34579.43,2828.407436
8,2021-07-04 01:00:00,34579.42,34715.89,34335.38,34669.13,1314.281079
9,2021-07-04 02:00:00,34669.12,34771.64,34495.13,34499.98,1352.384042
10,2021-07-04 03:00:00,34499.99,34587.15,34357.15,34447.89,1409.325738
11,2021-07-04 04:00:00,34447.89,34650,34400.3,34599,872.689
12,2021-07-04 05:00:00,34597.74,34770,34562.34,34641.61,919.751581
13,2021-07-04 06:00:00,34641.62,34840.69,34621.41,34777,1259.200551
14,2021-07-04 07:00:00,34777,35315.45,34685.84,35205.94,3144.684134
15,2021-07-04 08:00:00,35205.93,35457.84,35054.08,35413.45,2992.006095
16,2021-07-04 09:00:00,35416.22,35727,35346.39,35600.63,5548.476561
17,2021-07-04 10:00:00,35603.02,35687.18,35400,35538,2685.347532
18,2021-07-04 11:00:00,35538.01,35561.59,35364.21,35485.15,1610.583023
19,2021-07-04 12:00:00,35485.16,35620,35405.92,35578.93,1274.950376
20,2021-07-04 13:00:00,35578.93,35605.17,35459.62,35512.34,1053.14739
21,2021-07-04 14:00:00,35512.34,35562.22,35230.76,35248.11,1799.829147
22,2021-07-04 15:00:00,35248.11,35424.73,35244.88,35359.12,1594.143973
23,2021-07-04 16:00:00,35359.12,35500,35301.01,35449.78,1052.881725
24,2021-07-04 17:00:00,35449.79,35572.72,35391.06,35513.29,1216.379895
25,2021-07-04 18:00:00,35513.28,35687.54,35440,35467.71,2091.811732
26,2021-07-04 19:00:00,35467.7,35589.17,35385,35558.44,1322.867319
27,2021-07-04 20:00:00,35558.43,35564.73,35385,35510.38,1055.035335
28,2021-07-04 21:00:00,35510.39,35607.83,35484,35575.01,916.060978
29,2021-07-04 22:00:00,35575.01,35575.01,35445.01,35550.39,873.162685
30,2021-07-04 23:00:00,35550.38,35967.85,35488.37,35899.23,2599.636892
31,2021-07-05 00:00:00,35903.79,35907.08,35325.33,35364.54,2407.294908
32,2021-07-05 01:00:00,35364.54,35496.7,35135,35286.51,2651.825177
33,2021-07-05 02:00:00,35288.13,35293.78,34752.52,34841.07,4012.285518
34,2021-07-05 03:00:00,34841.6,34925.11,34445.33,34558.05,3007.057958
35,2021-07-05 04:00:00,34558.05,34651.11,34315.24,34439.97,2536.777883
36,2021-07-05 05:00:00,34439.99,34538.07,34180.18,34350.89,2440.500685
37,2021-07-05 06:00:00,34351.25,34415.64,34000,34200.14,3963.985922
38,2021-07-05 07:00:00,34200.15,34383.33,34066.49,34347.21,1982.48869
