,Time,Open,High,Low,Close,Volume
0,2021-08-09 08:15:00,43420.91,43471.88,43263.21,43383.11,269.466541
1,2021-08-09 08:20:00,43383.11,43413.14,43267.44,43386.33,177.274635
2,2021-08-09 08:25:00,43386.33,43401.72,43285,43288.83,107.023652
3,2021-08-09 08:30:00,43289.25,43419.99,43275.32,43401.15,108.961041
4,2021-08-09 08:35:00,43401.16,43548.95,43401.16,43528.99,117.699303
5,2021-08-09 08:40:00,43529,43533.92,43377.16,43400.51,92.771961
6,2021-08-09 08:45:00,43400.51,43454.75,43350.02,43419.17,75.36851
7,2021-08-09 08:50:00,43419.16,43508.46,43411.64,43496.93,121.592146
8,2021-08-09 08:55:00,43496.93,43529.03,43450,43474,108.256461
9,2021-08-09 09:00:00,43473.99,43620,43471.17,43615.51,124.233871
10,2021-08-09 09:05:00,43615.5,43620,43520.62,43524.43,87.59692
11,2021-08-09 09:10:00,43524.43,43606,43515.82,43515.83,83.987851
12,2021-08-09 09:15:00,43518.99,43573.21,43400,43406.22,121.018519
13,2021-08-09 09:20:00,43406.21,43478.94,43375.56,43390.11,117.318857
14,2021-08-09 09:25:00,43390.1,43459.77,43377.63,43402.51,127.77514
15,2021-08-09 09:30:00,43402.5,43494.49,43360.53,43490.8,110.322962
16,2021-08-09 09:35:00,43490.79,43557.89,43490.01,43542.29,102.587911
17,2021-08-09 09:40:00,43542.28,43669.33,43533.22,43636.02,221.421064
18,2021-08-09 09:45:00,43636.02,43730,43632.52,43685.01,166.239524
19,2021-08-09 09:50:00,43686.56,43750,43568.42,43694.37,232.786583
20,2021-08-09 09:55:00,43694.38,43845.39,43694.37,43800.74,238.962308
21,2021-08-09 10:00:00,43800.74,43896.44,43741.59,43831.56,305.553153
22,2021-08-09 10:05:00,43831.55,43900,43684.55,43716.68,306.616786
23,2021-08-09 10:10:00,43716.68,43720.01,43668.78,43711.17,177.250572
24,2021-08-09 10:15:00,43711.16,43714.49,43650.57,43675.11,102.815023
25,2021-08-09 10:20:00,43675.11,43763,43622.27,43622.27,130.204848
26,2021-08-09 10:25:00,43622.27,43667.8,43600.92,43647.82,110.846515
27,2021-08-09 10:30:00,43647.82,43729.33,43647.82,43698.65,118.840473
28,2021-08-09 10:35:00,43697.31,43873.13,43682.47,43769.5,225.207131
29,2021-08-09 10:40:00,43765.33,43823.64,43711,43748.99,112.966372
30,2021-08-09 10:45:00,43748.99,43845.17,43748.99,43774.82,106.126992
31,2021-08-09 10:50:00,43774.83,43805.66,43710,43771.41,141.347988
32,2021-08-09 10:55:00,43771.42,43807,43712.35,43717.14,102.759526
33,2021-08-09 11:00:00,43720,43744.98,43656.2,43656.21,88.341076
34,2021-08-09 11:05:00,43656.21,43720,43656.2,43720,92.601265
35,2021-08-09 11:10:00,43720,44250.64,43720,44239.05,800.544587
36,2021-08-09 11:15:00,44239.06,44491.11,44139.02,44366.75,783.101315
37,2021-08-09 11:20:00,44366.75,44750,44347.94,44655.99,752.990789
38,2021-08-09 11:25:00,44656,44676.98,44526.27,44614.2,478.845135
39,2021-08-09 11:30:00,44614.2,44641,44469.33,44492.45,379.510483
40,2021-08-09 11:35:00,44492.44,44741.77,44483,44659.06,325.541463
41,2021-08-09 11:40:00,44659.06,44690,44573.32,44625.45,190.531483
42,2021-08-09 11:45:00,44625.46,44989,44580.01,44875.54,743.622889
43,2021-08-09 11:50:00,44875.54,45011.63,44830.18,44860.37,672.973175
44,2021-08-09 11:55:00,44860.37,44916,44815.73,44855.11,252.987088
45,2021-08-09 12:00:00,44855.11,45250,44855.1,45206.74,904.50336
46,2021-08-09 12:05:00,45206.73,45220.04,45061.83,45099.97,428.394873
47,2021-08-09 12:10:00,45099.97,45195,45054.91,45062.37,379.482392
48,2021-08-09 12:15:00,45065.13,45145.97,44906.92,44959,454.901735
49,2021-08-09 12:20:00,44958.99,44963.1,44744.18,44828.8,384.177345
50,2021-08-09 12:25:00,44828.79,44990.19,44828.79,44970,248.019189
51,2021-08-09 12:30:00,44970.64,45155.28,44970,45108.41,403.258849
52,2021-08-09 12:35:00,45108.42,45247.02,45108.42,45130.02,449.379813
53,2021-08-09 12:40:00,45130.02,45683.56,45130.01,45647.12,1871.824414
54,2021-08-09 12:45:00,45657.11,45700,45427.42,45477.81,544.27005
55,2021-08-09 12:50:00,45477.8,45669.69,45462.52,45656,354.072575
56,2021-08-09 12:55:00,45656,45669.7,45530,45646.63,295.118582
57,2021-08-09 13:00:00,45646.63,45850,45537,45537,952.056058
58,2021-08-09 13:05:00,45537,45645.89,45475.69,45604.74,384.924505
59,2021-08-09 13:10:00,45604.75,45783.23,45590.97,45775.5,424.601069
60,2021-08-09 13:15:00,45775.5,45788.6,45599.06,45657.09,372.103258
61,2021-08-09 13:20:00,45657.08,45672.79,45537,45642.76,276.421707
62,2021-08-09 13:25:00,45642.75,45787.71,45630,45630.49,248.279461
63,2021-08-09 13:30:00,45630.48,45714.35,45474.37,45510.97,307.619117
64,2021-08-09 13:35:00,45510.98,45612.54,45492.7,45563.92,173.146462
65,2021-08-09 13:40:00,45563.92,45735.6,45563.92,45715.09,206.158282
66,2021-08-09 13:45:00,45715.08,45778.78,45650.39,45680,208.911442
67,2021-08-09 13:50:00,45680,46048.5,45668.19,46009.52,973.462518
68,2021-08-09 13:55:00,46009.53,46009.53,45766.52,45930.01,504.141698
69,2021-08-09 14:00:00,45930.01,46028.79,45750,45782.53,624.354338
70,2021-08-09 14:05:00,45782.53,45782.53,45546.84,45623.22,397.769658
71,2021-08-09 14:10:00,45623.21,45750,45561.73,45710.48,359.677352
72,2021-08-09 14:15:00,45710.48,45717.71,45544.18,45557.5,335.794481
73,2021-08-09 14:20:00,45557.49,45738.54,45550,45666.82,206.727469
74,2021-08-09 14:25:00,45666.82,45833.89,45655.36,45757.01,265.436224
75,2021-08-09 14:30:00,45757,45840.98,45663.92,45694,165.045727
76,2021-08-09 14:35:00,45694,45742.19,45648.77,45680.64,161.730899
77,2021-08-09 14:40:00,45680.63,45716.66,45608.47,45618.58,137.353882
78,2021-08-09 14:45:00,45618.59,45820,45614.81,45663.89,241.742515
79,2021-08-09 14:50:00,45663.89,45681.8,45602.37,45610.28,141.655658
80,2021-08-09 14:55:00,45610.27,45694.09,45609.03,45675.34,162.803313
81,2021-08-09 15:00:00,45675.34,45846.88,45665.99,45742.44,288.316924
82,2021-08-09 15:05:00,45742.43,45746.44,45600,45650.05,186.291992
83,2021-08-09 15:10:00,45650.05,45769.99,45638.08,45738.64,134.830729
84,2021-08-09 15:15:00,45738.7,45742.29,45658.46,45722.48,157.178537
85,2021-08-09 15:20:00,45722.47,45812.52,45722.47,45786.19,152.154927
86,2021-08-09 15:25:00,45786.2,45850,45750,45842.25,146.190317
87,2021-08-09 15:30:00,45842.25,45904.28,45803.61,45814.66,244.619503
