,Time,Open,High,Low,Close,Volume
0,2021-08-19 03:45:00,45183.09,45234.56,45089.69,45162.45,164.877066
1,2021-08-19 03:50:00,45162.45,45162.45,45006.2,45035.12,106.691582
2,2021-08-19 03:55:00,45035.12,45035.12,44944.55,44955.07,118.767268
3,2021-08-19 04:00:00,44959.96,44959.96,44764.74,44848.66,217.113514
4,2021-08-19 04:05:00,44848.65,44895.27,44749.99,44883.38,105.356625
5,2021-08-19 04:10:00,44883.38,44891.82,44796.32,44803.66,98.922967
6,2021-08-19 04:15:00,44803.67,44852.21,44723.6,44816.06,140.073826
7,2021-08-19 04:20:00,44816.06,44818.56,44674.0,44674.02,149.783129
8,2021-08-19 04:25:00,44674.03,44707.55,44630.0,44687.15,195.550741
9,2021-08-19 04:30:00,44687.14,44730.96,44625.97,44725.25,140.019473
10,2021-08-19 04:35:00,44725.25,44780.4,44682.41,44732.44,117.867669
11,2021-08-19 04:40:00,44732.45,44732.45,44637.79,44643.35,110.682875
12,2021-08-19 04:45:00,44643.34,44717.57,44634.18,44689.53,105.231386
13,2021-08-19 04:50:00,44689.52,44693.53,44611.0,44686.81,92.069714
14,2021-08-19 04:55:00,44686.81,44696.65,44581.34,44590.84,101.563739
15,2021-08-19 05:00:00,44590.83,44613.36,44545.76,44599.34,118.355193
16,2021-08-19 05:05:00,44594.58,44599.32,44349.82,44350.17,488.767444
17,2021-08-19 05:10:00,44350.16,44368.25,44251.0,44294.75,344.582534
18,2021-08-19 05:15:00,44294.91,44355.45,44250.0,44266.25,175.386487
19,2021-08-19 05:20:00,44266.26,44340.94,44200.0,44217.2,308.573285
20,2021-08-19 05:25:00,44217.21,44287.2,44126.38,44138.3,366.872664
21,2021-08-19 05:30:00,44136.72,44314.03,44069.41,44294.85,365.113535
22,2021-08-19 05:35:00,44300.31,44329.94,44183.41,44191.31,230.471733
23,2021-08-19 05:40:00,44191.31,44208.3,44116.42,44191.68,156.082986
24,2021-08-19 05:45:00,44191.69,44291.1,44175.02,44183.99,126.990684
25,2021-08-19 05:50:00,44183.98,44246.51,44125.08,44222.48,102.693086
26,2021-08-19 05:55:00,44222.49,44222.49,44044.65,44046.97,206.021525
27,2021-08-19 06:00:00,44046.97,44235.16,43960.0,44209.3,692.877062
28,2021-08-19 06:05:00,44209.3,44240.83,44089.0,44211.89,149.708128
29,2021-08-19 06:10:00,44211.89,44211.9,43988.13,44068.59,933.346741
30,2021-08-19 06:15:00,44068.6,44101.42,43927.7,44099.99,245.128816
31,2021-08-19 06:20:00,44099.99,44248.68,44095.3,44195.24,145.228116
32,2021-08-19 06:25:00,44195.24,44308.0,44122.17,44297.86,136.958546
33,2021-08-19 06:30:00,44297.86,44324.92,44234.35,44278.22,196.302732
34,2021-08-19 06:35:00,44278.21,44285.46,44180.87,44279.67,124.528564
35,2021-08-19 06:40:00,44279.68,44285.82,44200.01,44275.14,86.196645
36,2021-08-19 06:45:00,44275.13,44275.14,44171.26,44229.3,104.76242
37,2021-08-19 06:50:00,44229.29,44238.96,44153.84,44195.62,111.033121
38,2021-08-19 06:55:00,44195.62,44195.62,44100.01,44132.07,103.449946
39,2021-08-19 07:00:00,44132.07,44252.14,44040.82,44244.86,160.243594
40,2021-08-19 07:05:00,44244.87,44248.63,44115.17,44208.49,129.088982
41,2021-08-19 07:10:00,44208.49,44256.06,44095.05,44181.01,148.984952
42,2021-08-19 07:15:00,44181.0,44279.09,44155.2,44221.96,93.772472
43,2021-08-19 07:20:00,44221.95,44385.66,44200.84,44351.48,167.26058
44,2021-08-19 07:25:00,44351.48,44465.67,44320.0,44432.25,209.377016
45,2021-08-19 07:30:00,44432.24,44493.38,44380.01,44480.0,250.565148
46,2021-08-19 07:35:00,44480.01,44480.01,44377.56,44381.35,128.692523
47,2021-08-19 07:40:00,44381.35,44455.53,44348.19,44430.32,116.373026
48,2021-08-19 07:45:00,44429.91,44488.0,44379.05,44462.8,146.225386
49,2021-08-19 07:50:00,44462.79,44480.0,44400.0,44443.99,91.766543
50,2021-08-19 07:55:00,44444.0,44449.98,44379.06,44403.35,103.126415
51,2021-08-19 08:00:00,44403.36,44450.0,44335.0,44349.76,150.790718
