,Time,Open,High,Low,Close,Volume
0,2018-11-19 01:00:00,5661.94,5664,4855,4910.03,70580.892856
1,2018-11-20 01:00:00,4913.4,5048.24,4326,4558.86,117380.95159
2,2018-11-21 01:00:00,4559.91,4787.2,4413.85,4661.07,61071.829475
3,2018-11-22 01:00:00,4661.08,4721.77,4335,4370,34531.119143
4,2018-11-23 01:00:00,4370.9,4484,4222.94,4420.61,49371.920322
5,2018-11-24 01:00:00,4415.63,4527,3824.69,3932.44,61693.111006
6,2018-11-25 01:00:00,3933.68,4233,3652.66,4085.78,101693.975588
7,2018-11-26 01:00:00,4088.69,4206,3701,3862.2,94503.750767
8,2018-11-27 01:00:00,3864.45,3940,3689.12,3875.21,67480.607212
9,2018-11-28 01:00:00,3875.63,4394.47,3874.27,4264.85,91983.567949
10,2018-11-29 01:00:00,4262.06,4450.38,4125.65,4295.84,73980.198669
11,2018-11-30 01:00:00,4295.72,4341.36,3943,4041.32,67758.446283
12,2018-12-01 01:00:00,4041.27,4299.99,3963.01,4190.02,44840.073481
13,2018-12-02 01:00:00,4190.98,4312.99,4103.04,4161.01,38912.15479
14,2018-12-03 01:00:00,4160.55,4179,3827,3884.01,49094.369163
15,2018-12-04 01:00:00,3884.76,4085,3781,3951.64,48489.551613
16,2018-12-05 01:00:00,3950.98,3970,3745,3769.84,44004.799448
17,2018-12-06 01:00:00,3768.44,3899.99,3500,3508.75,68378.796943
18,2018-12-07 01:00:00,3508.75,3549.99,3224.6,3403.55,95145.457442
19,2018-12-08 01:00:00,3403.57,3495,3222,3410.93,55365.949949
20,2018-12-09 01:00:00,3411.36,3658,3394.04,3545.37,45956.893296
21,2018-12-10 01:00:00,3548.49,3610,3370.11,3432.88,40989.244553
22,2018-12-11 01:00:00,3434.01,3480,3324.32,3380.39,35920.864154
23,2018-12-12 01:00:00,3379.23,3492,3350,3445,33922.931286
24,2018-12-13 01:00:00,3446.38,3460,3255.5,3302.06,40040.917013
